"","essround","netuse","ppltrst","polintr","vote","prtvtes","lawobey","gndr","agea","edlves","pdjobev","dscrgrp","region","dscrage","dscrdk","dscrdsb","dscretn","dscrgnd","dscrlng","dscrna","dscrnap","dscrntn","dscroth","dscrrce","dscrref","dscrsex","discrimination"
"76",2002,0,4,3,1,2,3,2,67,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"77",2002,88,6,3,2,66,3,1,38,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"78",2002,6,7,4,3,66,2,1,18,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"79",2002,0,2,3,1,1,2,2,59,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"80",2002,0,7,3,2,66,3,1,22,6,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"81",2002,6,7,3,1,77,3,1,24,8,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"82",2002,1,8,3,1,2,4,2,36,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"83",2002,0,7,2,1,2,3,2,42,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"84",2002,0,7,2,1,77,3,2,37,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"85",2002,0,3,4,1,1,2,2,42,5,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"86",2002,0,6,4,1,1,1,2,74,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"87",2002,0,9,4,1,1,4,1,82,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"88",2002,0,4,4,1,2,2,1,62,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"89",2002,0,8,4,1,77,1,1,37,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"90",2002,0,10,4,2,66,2,1,89,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"91",2002,0,8,4,1,1,1,2,75,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"92",2002,1,7,3,1,1,2,2,43,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"93",2002,1,4,4,1,2,3,1,28,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"94",2002,0,6,4,3,66,3,2,33,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"95",2002,6,5,3,1,77,4,2,31,11,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"96",2002,0,6,2,3,66,4,1,20,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"97",2002,4,6,3,1,2,3,2,34,8,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"98",2002,0,6,4,1,68,4,1,42,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"99",2002,0,7,3,1,1,2,2,64,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"100",2002,1,5,3,1,1,3,2,53,3,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"101",2002,1,5,2,1,1,3,1,49,8,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"102",2002,0,3,3,1,2,3,1,73,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"103",2002,6,4,3,2,66,4,2,27,8,6,1,"",0,0,0,0,1,0,0,0,0,0,0,0,0,"Género"
"104",2002,0,5,4,1,88,2,2,72,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"105",2002,0,4,4,1,1,2,2,74,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"106",2002,0,6,4,1,88,2,2,64,2,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"107",2002,0,4,3,1,2,2,1,70,5,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"108",2002,0,6,3,1,1,2,1,73,7,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"109",2002,7,8,1,1,3,4,1,57,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"110",2002,7,6,3,1,88,2,2,35,11,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"111",2002,0,7,4,2,66,3,2,32,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"112",2002,0,7,2,1,2,2,2,73,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"113",2002,4,7,1,1,1,4,1,32,6,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"114",2002,0,4,2,1,2,2,2,65,2,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"115",2002,0,8,3,1,1,3,2,76,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"116",2002,0,8,3,1,1,2,2,61,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"117",2002,0,5,3,1,77,2,1,64,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"118",2002,0,6,4,1,77,2,1,43,1,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"119",2002,0,2,3,2,66,2,1,39,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"120",2002,0,4,3,2,66,2,2,51,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"121",2002,0,1,3,1,1,3,2,25,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"122",2002,0,5,4,2,66,2,2,53,1,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"123",2002,0,2,4,1,77,2,2,63,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"124",2002,6,5,3,2,66,2,2,19,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"125",2002,0,5,4,2,66,2,2,21,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"126",2002,0,5,2,1,1,1,1,38,3,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"127",2002,0,5,4,2,66,3,2,26,2,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"128",2002,0,3,4,1,2,1,2,82,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"129",2002,0,6,3,1,1,1,1,74,8,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"130",2002,0,1,4,1,2,2,2,27,6,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"131",2002,4,88,3,3,66,3,2,20,6,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"132",2002,0,7,3,1,1,2,2,69,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"133",2002,0,3,4,1,88,1,2,77,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"134",2002,0,5,4,1,2,2,1,42,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"135",2002,0,6,4,1,1,1,2,57,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"136",2002,0,6,3,1,2,1,2,71,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"137",2002,0,3,4,1,2,1,2,39,5,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"138",2002,5,7,3,1,1,1,1,33,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"139",2002,0,3,3,1,1,2,2,70,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"140",2002,0,2,3,1,1,1,2,33,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"141",2002,0,4,3,1,77,8,2,42,4,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"142",2002,0,6,3,1,1,1,2,56,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"143",2002,0,5,4,1,1,1,2,65,2,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"144",2002,0,6,4,3,66,1,1,17,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"145",2002,0,88,3,1,2,8,1,78,0,1,8,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"146",2002,0,7,3,1,77,3,1,24,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"147",2002,0,10,3,1,2,1,1,70,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"148",2002,0,88,7,1,2,1,1,77,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"149",2002,0,88,4,1,77,8,2,75,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"150",2002,0,5,3,1,2,3,1,41,1,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"151",2002,6,2,1,1,1,4,1,53,8,6,1,"",0,0,0,0,0,0,0,0,0,0,0,0,1,"Sexualidad"
"152",2002,1,7,1,1,2,2,2,999,1,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"153",2002,0,4,3,3,66,2,1,16,3,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"154",2002,0,7,3,1,77,2,2,36,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"155",2002,0,88,8,1,2,8,2,84,0,2,8,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"156",2002,0,8,3,2,66,2,2,17,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"157",2002,0,88,7,1,77,8,2,71,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"158",2002,0,88,4,1,77,8,2,60,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"159",2002,0,5,3,1,77,2,1,33,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"160",2002,0,88,4,1,77,8,1,67,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"161",2002,0,88,8,1,2,8,2,999,0,2,8,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"162",2002,0,88,8,1,77,8,2,72,0,2,8,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"163",2002,0,7,4,1,77,2,2,30,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"164",2002,0,88,4,1,2,3,1,69,1,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"165",2002,0,88,4,1,77,8,2,70,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"166",2002,0,88,4,8,66,8,2,82,0,1,8,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"167",2002,0,2,3,1,77,2,2,29,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"168",2002,0,6,4,1,3,2,2,45,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"169",2002,0,5,2,1,1,2,1,58,11,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"170",2002,0,3,4,1,2,2,1,62,0,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"171",2002,0,4,3,2,66,4,2,25,5,6,1,"",0,0,0,0,0,0,0,0,1,0,1,0,1,"Sexualidad"
"172",2002,0,8,3,2,66,5,2,46,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"173",2002,0,5,3,3,66,4,1,44,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"174",2002,0,5,4,2,66,3,1,39,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"175",2002,1,8,4,2,66,1,1,39,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"176",2002,0,5,4,2,66,1,1,86,6,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"177",2002,7,6,4,1,77,4,1,16,3,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"178",2002,7,9,2,3,66,8,1,16,3,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"179",2002,0,9,4,1,77,3,2,35,6,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"180",2002,7,3,3,2,66,3,2,57,4,6,8,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"181",2002,1,6,3,8,66,8,2,40,5,2,8,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"182",2002,0,8,3,2,66,4,2,44,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"183",2002,0,6,3,1,1,4,1,33,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"184",2002,0,5,4,1,1,1,2,74,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"185",2002,0,4,4,1,88,2,2,33,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"186",2002,7,4,3,8,66,8,2,51,77,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"187",2002,5,7,3,1,2,1,2,52,2,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"188",2002,1,4,4,2,66,1,1,26,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"189",2002,0,4,2,1,68,3,1,24,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
